country,city,general
Nicaragua,Dolores,"Dolores, Nicaragua"
United States,Merrifield,"Merrifield, United States"
United States,Sacramento,"Sacramento, United States"
United States,Birmingham,"Birmingham, United States"
United States,Denver,"Denver, United States"
United States,Joliet,"Joliet, United States"
United States,Washington,"Washington, United States"
United States,Garden Grove,"Garden Grove, United States"
United States,Grand Forks,"Grand Forks, United States"
United States,San Antonio,"San Antonio, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Panama,Ailigandí,"Ailigandí, Panama"
Nicaragua,Chinandega,"Chinandega, Nicaragua"
Mexico,La Virgen,"La Virgen, Mexico"
Mexico,5 de Mayo,"5 de Mayo, Mexico"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Costa Rica,La Asunción,"La Asunción, Costa Rica"
United States,Whittier,"Whittier, United States"
Honduras,Iralaya,"Iralaya, Honduras"
United States,Chicago,"Chicago, United States"
Panama,San Ignacio de Tupile,"San Ignacio de Tupile, Panama"
Mexico,Guadalupe Victoria,"Guadalupe Victoria, Mexico"
Guatemala,Ciudad Vieja,"Ciudad Vieja, Guatemala"
Spain,Telde,"Telde, Spain"
Honduras,Salamá,"Salamá, Honduras"
United States,Youngstown,"Youngstown, United States"
Mexico,Buenavista,"Buenavista, Mexico"
Nicaragua,Diriomo,"Diriomo, Nicaragua"
United States,Little Rock,"Little Rock, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Mexico,Parque Industrial,"Parque Industrial, Mexico"
United States,Las Vegas,"Las Vegas, United States"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Honduras,Trujillo,"Trujillo, Honduras"
Nicaragua,Wiwilí,"Wiwilí, Nicaragua"
Mexico,Lindavista,"Lindavista, Mexico"
Italy,Messina,"Messina, Italy"
El Salvador,Quezaltepeque,"Quezaltepeque, El Salvador"
Mexico,Magisterial,"Magisterial, Mexico"
United States,Springfield,"Springfield, United States"
United States,Melbourne,"Melbourne, United States"
United States,Montgomery,"Montgomery, United States"
United States,Reston,"Reston, United States"
Honduras,Puerto Castilla,"Puerto Castilla, Honduras"
Guatemala,Santa María Ixhuatán,"Santa María Ixhuatán, Guatemala"
United States,Greensboro,"Greensboro, United States"
Mexico,Chapultepec,"Chapultepec, Mexico"
United States,Gainesville,"Gainesville, United States"
United States,Miami,"Miami, United States"
Italy,Firenze,"Firenze, Italy"
United States,San Diego,"San Diego, United States"
Panama,Yaviza,"Yaviza, Panama"
Mexico,Solidaridad,"Solidaridad, Mexico"
Guatemala,San Pedro Pinula,"San Pedro Pinula, Guatemala"
Mexico,La Purisima,"La Purisima, Mexico"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Italy,Venezia,"Venezia, Italy"
United States,Pasadena,"Pasadena, United States"
Honduras,Berlín,"Berlín, Honduras"
Mexico,El Mirador,"El Mirador, Mexico"
United States,Hartford,"Hartford, United States"
Mexico,Francisco I Madero,"Francisco I Madero, Mexico"
Mexico,Guadalupe Victoria,"Guadalupe Victoria, Mexico"
United States,Detroit,"Detroit, United States"
United States,Minneapolis,"Minneapolis, United States"
United States,New York City,"New York City, United States"
Guatemala,Morazán,"Morazán, Guatemala"
United States,Columbia,"Columbia, United States"
United States,Conroe,"Conroe, United States"
United States,Minneapolis,"Minneapolis, United States"
United States,Dallas,"Dallas, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Fullerton,"Fullerton, United States"
Honduras,San Marcos,"San Marcos, Honduras"
Honduras,Guanaja,"Guanaja, Honduras"
United States,San Diego,"San Diego, United States"
Guatemala,Guanagazapa,"Guanagazapa, Guatemala"
Spain,Vitoria-Gasteiz,"Vitoria-Gasteiz, Spain"
Honduras,El Corpus,"El Corpus, Honduras"
Honduras,Las Trojes,"Las Trojes, Honduras"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
Mexico,Tierra Blanca,"Tierra Blanca, Mexico"
United States,Lansing,"Lansing, United States"
United States,Pueblo,"Pueblo, United States"
United States,Boise,"Boise, United States"
Honduras,Baja Mar,"Baja Mar, Honduras"
Honduras,El Pino,"El Pino, Honduras"
United States,Las Vegas,"Las Vegas, United States"
Italy,Pescara,"Pescara, Italy"
United States,Dallas,"Dallas, United States"
United States,San Jose,"San Jose, United States"
United States,El Paso,"El Paso, United States"
United States,Schenectady,"Schenectady, United States"
United States,Rockford,"Rockford, United States"
Costa Rica,San Pedro,"San Pedro, Costa Rica"
Costa Rica,Guadalupe,"Guadalupe, Costa Rica"
Nicaragua,Larreynaga,"Larreynaga, Nicaragua"
United States,Pasadena,"Pasadena, United States"
Guatemala,San Cristóbal Cucho,"San Cristóbal Cucho, Guatemala"
Nicaragua,Tola,"Tola, Nicaragua"
United States,Bronx,"Bronx, United States"
United States,Dallas,"Dallas, United States"
Guatemala,Zunilito,"Zunilito, Guatemala"
Mexico,San Lorenzo,"San Lorenzo, Mexico"
Italy,Firenze,"Firenze, Italy"
Honduras,Mangulile,"Mangulile, Honduras"
United States,Tampa,"Tampa, United States"
United States,Omaha,"Omaha, United States"
Guatemala,San Lucas Tolimán,"San Lucas Tolimán, Guatemala"
United States,Paterson,"Paterson, United States"
United States,Washington,"Washington, United States"
Nicaragua,Matiguás,"Matiguás, Nicaragua"
Panama,Chitré,"Chitré, Panama"
Spain,Vigo,"Vigo, Spain"
United States,North Little Rock,"North Little Rock, United States"
United States,Jacksonville,"Jacksonville, United States"
Mexico,San Francisco,"San Francisco, Mexico"
Panama,San Ignacio de Tupile,"San Ignacio de Tupile, Panama"
United States,Providence,"Providence, United States"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
Guatemala,San Benito,"San Benito, Guatemala"
Nicaragua,Laguna de Perlas,"Laguna de Perlas, Nicaragua"
Mexico,Guadalupe,"Guadalupe, Mexico"
United States,Philadelphia,"Philadelphia, United States"
Mexico,Linda Vista,"Linda Vista, Mexico"
Mexico,Las Palmas,"Las Palmas, Mexico"
El Salvador,Nueva Guadalupe,"Nueva Guadalupe, El Salvador"
Mexico,La Concepcion,"La Concepcion, Mexico"
Guatemala,Santa Clara La Laguna,"Santa Clara La Laguna, Guatemala"
Mexico,Rafael Hernandez Ochoa,"Rafael Hernandez Ochoa, Mexico"
Guatemala,Melchor de Mencos,"Melchor de Mencos, Guatemala"
United States,Colorado Springs,"Colorado Springs, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Fort Worth,"Fort Worth, United States"
United States,Terre Haute,"Terre Haute, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
Mexico,San Sebastian,"San Sebastian, Mexico"
United States,Amarillo,"Amarillo, United States"
Costa Rica,Nicoya,"Nicoya, Costa Rica"
United States,Jackson,"Jackson, United States"
Costa Rica,Batán,"Batán, Costa Rica"
United States,Boise,"Boise, United States"
United States,Denton,"Denton, United States"
Costa Rica,San Diego,"San Diego, Costa Rica"
United States,Bronx,"Bronx, United States"
United States,Sacramento,"Sacramento, United States"
United States,Las Vegas,"Las Vegas, United States"
United States,Tucson,"Tucson, United States"
United States,Saint Joseph,"Saint Joseph, United States"
United States,Birmingham,"Birmingham, United States"
Panama,Pueblo Viejo,"Pueblo Viejo, Panama"
Panama,Aserrío de Gariché,"Aserrío de Gariché, Panama"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Panama,Vista Hermosa,"Vista Hermosa, Panama"
Costa Rica,Quesada,"Quesada, Costa Rica"
Honduras,Las Vegas,"Las Vegas, Honduras"
United States,Miami,"Miami, United States"
Mexico,Jardin,"Jardin, Mexico"
Honduras,Vallecillo,"Vallecillo, Honduras"
Mexico,Del Valle,"Del Valle, Mexico"
Mexico,San Antonio,"San Antonio, Mexico"
Guatemala,Patulul,"Patulul, Guatemala"
Mexico,Buenavista,"Buenavista, Mexico"
Mexico,Providencia,"Providencia, Mexico"
Panama,Yaviza,"Yaviza, Panama"
Italy,Napoli,"Napoli, Italy"
Nicaragua,Puerto Cabezas,"Puerto Cabezas, Nicaragua"
United States,Houston,"Houston, United States"
Italy,Genova,"Genova, Italy"
Honduras,Santa Rosa de Copán,"Santa Rosa de Copán, Honduras"
El Salvador,El Congo,"El Congo, El Salvador"
Honduras,Lepaterique,"Lepaterique, Honduras"
Mexico,La Concepcion,"La Concepcion, Mexico"
United States,Wichita,"Wichita, United States"
Nicaragua,Matiguás,"Matiguás, Nicaragua"
United States,Dallas,"Dallas, United States"
United States,Saint Louis,"Saint Louis, United States"
United States,Los Angeles,"Los Angeles, United States"
Mexico,Las Palmas,"Las Palmas, Mexico"
Honduras,La Libertad,"La Libertad, Honduras"
United States,Waterbury,"Waterbury, United States"
United States,Cincinnati,"Cincinnati, United States"
United States,San Diego,"San Diego, United States"
Mexico,Los Nogales,"Los Nogales, Mexico"
Mexico,Morelos,"Morelos, Mexico"
Nicaragua,El Crucero,"El Crucero, Nicaragua"
Honduras,Santa Cruz,"Santa Cruz, Honduras"
Mexico,Alameda,"Alameda, Mexico"
United States,Evansville,"Evansville, United States"
United States,Miami,"Miami, United States"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Gatesville,"Gatesville, United States"
Guatemala,Jerez,"Jerez, Guatemala"
United States,Jefferson City,"Jefferson City, United States"
United States,Monroe,"Monroe, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,San Francisco,"San Francisco, United States"
Italy,Milano,"Milano, Italy"
United States,Albany,"Albany, United States"
Mexico,La Purisima,"La Purisima, Mexico"
Panama,Panamá,"Panamá, Panama"
Costa Rica,San Francisco,"San Francisco, Costa Rica"
United States,El Paso,"El Paso, United States"
Spain,Sevilla,"Sevilla, Spain"
Mexico,Buenavista,"Buenavista, Mexico"
Italy,Venezia,"Venezia, Italy"
United States,Vancouver,"Vancouver, United States"
United States,Richmond,"Richmond, United States"
United States,Kissimmee,"Kissimmee, United States"
United States,Garden Grove,"Garden Grove, United States"
United States,New York City,"New York City, United States"
