country,city,general
Mexico,Magisterial,"Magisterial, Mexico"
United States,Newark,"Newark, United States"
United States,Portland,"Portland, United States"
Mexico,San Rafael,"San Rafael, Mexico"
United States,Kingsport,"Kingsport, United States"
United States,Vienna,"Vienna, United States"
Mexico,Nueva Esperanza,"Nueva Esperanza, Mexico"
United States,Atlanta,"Atlanta, United States"
Mexico,Tamaulipas,"Tamaulipas, Mexico"
Nicaragua,Larreynaga,"Larreynaga, Nicaragua"
Guatemala,La Gomera,"La Gomera, Guatemala"
United States,El Paso,"El Paso, United States"
Nicaragua,La Jicaral,"La Jicaral, Nicaragua"
United States,San Bernardino,"San Bernardino, United States"
Honduras,Marcala,"Marcala, Honduras"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,San Francisco,"San Francisco, United States"
Spain,Leganes,"Leganes, Spain"
Mexico,La Concepcion,"La Concepcion, Mexico"
United States,Knoxville,"Knoxville, United States"
Honduras,Liure,"Liure, Honduras"
Costa Rica,La Asunción,"La Asunción, Costa Rica"
Honduras,San José de Comayagua,"San José de Comayagua, Honduras"
Panama,La Mesa,"La Mesa, Panama"
United States,Reading,"Reading, United States"
United States,Inglewood,"Inglewood, United States"
United States,Anaheim,"Anaheim, United States"
Italy,Salerno,"Salerno, Italy"
United States,Punta Gorda,"Punta Gorda, United States"
Guatemala,San Rafael Petzal,"San Rafael Petzal, Guatemala"
United States,Mesa,"Mesa, United States"
Mexico,Guadalupe Victoria,"Guadalupe Victoria, Mexico"
United States,Los Angeles,"Los Angeles, United States"
United States,Tulsa,"Tulsa, United States"
United States,Charleston,"Charleston, United States"
Costa Rica,Tejar,"Tejar, Costa Rica"
Panama,Río de Jesús,"Río de Jesús, Panama"
Honduras,Salamá,"Salamá, Honduras"
Guatemala,Santa Catarina Barahona,"Santa Catarina Barahona, Guatemala"
El Salvador,Texistepeque,"Texistepeque, El Salvador"
Mexico,Santa Rosa,"Santa Rosa, Mexico"
United States,Philadelphia,"Philadelphia, United States"
United States,El Paso,"El Paso, United States"
United States,Chicago,"Chicago, United States"
United States,Saint Augustine,"Saint Augustine, United States"
United States,Louisville,"Louisville, United States"
United States,Orlando,"Orlando, United States"
Mexico,Santa Rosa,"Santa Rosa, Mexico"
United States,Hartford,"Hartford, United States"
United States,Grand Rapids,"Grand Rapids, United States"
United States,Chicago,"Chicago, United States"
Spain,Madrid,"Madrid, Spain"
United States,Fullerton,"Fullerton, United States"
Honduras,San Ignacio,"San Ignacio, Honduras"
United States,San Antonio,"San Antonio, United States"
Mexico,La Cruz,"La Cruz, Mexico"
Mexico,Lagunillas,"Lagunillas, Mexico"
Mexico,Guadalupe,"Guadalupe, Mexico"
United States,Grand Rapids,"Grand Rapids, United States"
United States,San Jose,"San Jose, United States"
United States,San Jose,"San Jose, United States"
United States,Richmond,"Richmond, United States"
