country,city,general
United States,Columbus,"Columbus, United States"
United States,Joliet,"Joliet, United States"
Nicaragua,La Paz Centro,"La Paz Centro, Nicaragua"
Mexico,Ignacio Zaragoza,"Ignacio Zaragoza, Mexico"
Spain,Valencia,"Valencia, Spain"
Guatemala,San Jerónimo,"San Jerónimo, Guatemala"
United States,Cincinnati,"Cincinnati, United States"
United States,Wichita,"Wichita, United States"
Costa Rica,Escazú,"Escazú, Costa Rica"
Mexico,Buenos Aires,"Buenos Aires, Mexico"
United States,Charlotte,"Charlotte, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
Nicaragua,Bocana de Paiwas,"Bocana de Paiwas, Nicaragua"
Mexico,San Francisco,"San Francisco, Mexico"
United States,Albuquerque,"Albuquerque, United States"
United States,Toledo,"Toledo, United States"
Nicaragua,Bocana de Paiwas,"Bocana de Paiwas, Nicaragua"
Honduras,Cañaveral,"Cañaveral, Honduras"
United States,Santa Ana,"Santa Ana, United States"
United States,Las Vegas,"Las Vegas, United States"
Mexico,Las Americas,"Las Americas, Mexico"
Mexico,Loma Alta,"Loma Alta, Mexico"
United States,Sacramento,"Sacramento, United States"
United States,Garland,"Garland, United States"
United States,Los Angeles,"Los Angeles, United States"
United States,Des Moines,"Des Moines, United States"
El Salvador,San Salvador,"San Salvador, El Salvador"
Panama,Las Lomas,"Las Lomas, Panama"
Mexico,Independencia,"Independencia, Mexico"
Mexico,La Palma,"La Palma, Mexico"
United States,Oklahoma City,"Oklahoma City, United States"
United States,Newport News,"Newport News, United States"
Nicaragua,Quezalguaque,"Quezalguaque, Nicaragua"
United States,Jamaica,"Jamaica, United States"
Honduras,Nuevo Chamelecón,"Nuevo Chamelecón, Honduras"
United States,New Haven,"New Haven, United States"
Costa Rica,Fortuna,"Fortuna, Costa Rica"
United States,Kissimmee,"Kissimmee, United States"
United States,Omaha,"Omaha, United States"
Spain,"Palmas De Gran Canaria, Las","Palmas De Gran Canaria, Las, Spain"
Mexico,San Jose,"San Jose, Mexico"
United States,Evansville,"Evansville, United States"
United States,Richmond,"Richmond, United States"
United States,Jamaica,"Jamaica, United States"
Spain,Badajoz,"Badajoz, Spain"
Guatemala,Morazán,"Morazán, Guatemala"
