country,city,general
Panama,Quebrada Canoa,"Quebrada Canoa, Panama"
United States,Melbourne,"Melbourne, United States"
United States,Inglewood,"Inglewood, United States"
Mexico,5 de Mayo,"5 de Mayo, Mexico"
Guatemala,Santa Bárbara,"Santa Bárbara, Guatemala"
Mexico,Bellavista,"Bellavista, Mexico"
Honduras,San Marcos de Colón,"San Marcos de Colón, Honduras"
Panama,Llano de Piedra,"Llano de Piedra, Panama"
United States,Vancouver,"Vancouver, United States"
United States,Naperville,"Naperville, United States"
United States,Shreveport,"Shreveport, United States"
United States,Boston,"Boston, United States"
Guatemala,Chiantla,"Chiantla, Guatemala"
Mexico,Manuel Cavazos Lerma,"Manuel Cavazos Lerma, Mexico"
United States,Fort Lauderdale,"Fort Lauderdale, United States"
Panama,Panamá,"Panamá, Panama"
Mexico,Niños Heroes,"Niños Heroes, Mexico"
United States,Philadelphia,"Philadelphia, United States"
Nicaragua,Santo Domingo,"Santo Domingo, Nicaragua"
Guatemala,Yepocapa,"Yepocapa, Guatemala"
Mexico,Morelos,"Morelos, Mexico"
United States,Lexington,"Lexington, United States"
El Salvador,El Rosario,"El Rosario, El Salvador"
Guatemala,Santa Catarina Barahona,"Santa Catarina Barahona, Guatemala"
Mexico,Providencia,"Providencia, Mexico"
United States,Cheyenne,"Cheyenne, United States"
United States,Evansville,"Evansville, United States"
United States,Des Moines,"Des Moines, United States"
United States,San Jose,"San Jose, United States"
Mexico,Santa Maria,"Santa Maria, Mexico"
United States,Norwalk,"Norwalk, United States"
Honduras,San Buenaventura,"San Buenaventura, Honduras"
Mexico,Guadalupe,"Guadalupe, Mexico"
Honduras,El Llano,"El Llano, Honduras"
United States,Philadelphia,"Philadelphia, United States"
Mexico,La Palma,"La Palma, Mexico"
Honduras,Bálsamo Oriental,"Bálsamo Oriental, Honduras"
United States,Washington,"Washington, United States"
United States,New York City,"New York City, United States"
Costa Rica,Purral,"Purral, Costa Rica"
Nicaragua,Ciudad Sandino,"Ciudad Sandino, Nicaragua"
Mexico,San Juan,"San Juan, Mexico"
United States,Minneapolis,"Minneapolis, United States"
United States,Philadelphia,"Philadelphia, United States"
Costa Rica,Salitrillos,"Salitrillos, Costa Rica"
Mexico,San Marcos,"San Marcos, Mexico"
United States,Wichita,"Wichita, United States"
United States,Omaha,"Omaha, United States"
United States,Dearborn,"Dearborn, United States"
Italy,Genova,"Genova, Italy"
Panama,El Coco,"El Coco, Panama"
Mexico,Obrera,"Obrera, Mexico"
United States,Salt Lake City,"Salt Lake City, United States"
United States,Fullerton,"Fullerton, United States"
Guatemala,San Miguel Chicaj,"San Miguel Chicaj, Guatemala"
Honduras,Concepción de la Barranca,"Concepción de la Barranca, Honduras"
Honduras,Ojos de Agua,"Ojos de Agua, Honduras"
United States,Baton Rouge,"Baton Rouge, United States"
Mexico,Buenavista,"Buenavista, Mexico"
United States,Los Angeles,"Los Angeles, United States"
Panama,Los Algarrobos,"Los Algarrobos, Panama"
Mexico,Rafael Hernandez Ochoa,"Rafael Hernandez Ochoa, Mexico"
United States,Mesquite,"Mesquite, United States"
Panama,Las Palmas,"Las Palmas, Panama"
United States,Buffalo,"Buffalo, United States"
Mexico,San Rafael,"San Rafael, Mexico"
United States,Trenton,"Trenton, United States"
United States,Oklahoma City,"Oklahoma City, United States"
United States,Waterbury,"Waterbury, United States"
Honduras,Santa Rosa de Aguán,"Santa Rosa de Aguán, Honduras"
United States,Pueblo,"Pueblo, United States"
Nicaragua,Bonanza,"Bonanza, Nicaragua"
Mexico,Parque Industrial,"Parque Industrial, Mexico"
El Salvador,Guaymango,"Guaymango, El Salvador"
United States,Inglewood,"Inglewood, United States"
United States,Madison,"Madison, United States"
United States,Philadelphia,"Philadelphia, United States"
Mexico,El Salitre,"El Salitre, Mexico"
Costa Rica,San Francisco,"San Francisco, Costa Rica"
Honduras,La Estancia,"La Estancia, Honduras"
United States,Miami,"Miami, United States"
United States,Staten Island,"Staten Island, United States"
Spain,Donostia-San Sebastian,"Donostia-San Sebastian, Spain"
Panama,Ustupo,"Ustupo, Panama"
Honduras,Aramecina,"Aramecina, Honduras"
Panama,Chepo,"Chepo, Panama"
United States,San Antonio,"San Antonio, United States"
Spain,Zamora,"Zamora, Spain"
United States,Austin,"Austin, United States"
Nicaragua,La Paz de Oriente,"La Paz de Oriente, Nicaragua"
El Salvador,Santa Rosa de Lima,"Santa Rosa de Lima, El Salvador"
United States,Springfield,"Springfield, United States"
United States,Flushing,"Flushing, United States"
Mexico,Manuel Cavazos Lerma,"Manuel Cavazos Lerma, Mexico"
Mexico,Solidaridad,"Solidaridad, Mexico"
Guatemala,El Chol,"El Chol, Guatemala"
Nicaragua,San Rafael del Sur,"San Rafael del Sur, Nicaragua"
United States,Marietta,"Marietta, United States"
Honduras,Choloma,"Choloma, Honduras"
United States,Lafayette,"Lafayette, United States"
Panama,Río Alejandro,"Río Alejandro, Panama"
United States,Van Nuys,"Van Nuys, United States"
Guatemala,Taxisco,"Taxisco, Guatemala"
Spain,Valencia,"Valencia, Spain"
Costa Rica,Nicoya,"Nicoya, Costa Rica"
Costa Rica,Chacarita,"Chacarita, Costa Rica"
United States,Houston,"Houston, United States"
United States,Tacoma,"Tacoma, United States"
United States,Miami,"Miami, United States"
United States,Memphis,"Memphis, United States"
Guatemala,Parramos,"Parramos, Guatemala"
United States,Rochester,"Rochester, United States"
United States,San Francisco,"San Francisco, United States"
Spain,"Palmas De Gran Canaria, Las","Palmas De Gran Canaria, Las, Spain"
Honduras,El Marañón,"El Marañón, Honduras"
Honduras,Araulí,"Araulí, Honduras"
Honduras,Las Ánimas,"Las Ánimas, Honduras"
United States,Winston Salem,"Winston Salem, United States"
Guatemala,Santa Apolonia,"Santa Apolonia, Guatemala"
United States,Hartford,"Hartford, United States"
United States,Oakland,"Oakland, United States"
United States,Detroit,"Detroit, United States"
United States,Lincoln,"Lincoln, United States"
United States,Chicago,"Chicago, United States"
Mexico,El Mirador,"El Mirador, Mexico"
United States,Columbus,"Columbus, United States"
Guatemala,Samayac,"Samayac, Guatemala"
Italy,Salerno,"Salerno, Italy"
Guatemala,Casillas,"Casillas, Guatemala"
United States,Tempe,"Tempe, United States"
United States,Chicago,"Chicago, United States"
Guatemala,El Estor,"El Estor, Guatemala"
Honduras,El Guapinol,"El Guapinol, Honduras"
Mexico,Plan de Ayala,"Plan de Ayala, Mexico"
Mexico,Providencia,"Providencia, Mexico"
Mexico,Buenavista,"Buenavista, Mexico"
Spain,Lugo,"Lugo, Spain"
United States,San Diego,"San Diego, United States"
El Salvador,Santa Ana,"Santa Ana, El Salvador"
Mexico,Rancho Viejo,"Rancho Viejo, Mexico"
Mexico,Nicolas Bravo,"Nicolas Bravo, Mexico"
United States,Lansing,"Lansing, United States"
United States,Houston,"Houston, United States"
Mexico,La Soledad,"La Soledad, Mexico"
United States,Washington,"Washington, United States"
Mexico,Rafael Hernandez Ochoa,"Rafael Hernandez Ochoa, Mexico"
Mexico,La Reforma,"La Reforma, Mexico"
United States,Birmingham,"Birmingham, United States"
Mexico,Camino Real,"Camino Real, Mexico"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Saint Louis,"Saint Louis, United States"
Spain,Barcelona,"Barcelona, Spain"
United States,Van Nuys,"Van Nuys, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
Mexico,San Francisco,"San Francisco, Mexico"
Italy,Laspezia,"Laspezia, Italy"
United States,Cincinnati,"Cincinnati, United States"
Panama,La Palma,"La Palma, Panama"
Spain,Lleida,"Lleida, Spain"
Honduras,Santa Lucía,"Santa Lucía, Honduras"
United States,Staten Island,"Staten Island, United States"
United States,Sacramento,"Sacramento, United States"
Guatemala,Champerico,"Champerico, Guatemala"
United States,Grand Rapids,"Grand Rapids, United States"
United States,Reno,"Reno, United States"
El Salvador,Antiguo Cuscatlán,"Antiguo Cuscatlán, El Salvador"
United States,Portland,"Portland, United States"
Spain,Santander,"Santander, Spain"
Guatemala,Palestina de los Altos,"Palestina de los Altos, Guatemala"
Honduras,Yarumela,"Yarumela, Honduras"
United States,Monroe,"Monroe, United States"
Honduras,Quebrada Larga,"Quebrada Larga, Honduras"
Mexico,Independencia,"Independencia, Mexico"
Nicaragua,San Ramón,"San Ramón, Nicaragua"
United States,Greensboro,"Greensboro, United States"
United States,Fort Wayne,"Fort Wayne, United States"
Guatemala,Palestina de los Altos,"Palestina de los Altos, Guatemala"
Guatemala,Almolonga,"Almolonga, Guatemala"
United States,Lancaster,"Lancaster, United States"
Mexico,Francisco I Madero,"Francisco I Madero, Mexico"
Honduras,La Guama,"La Guama, Honduras"
United States,Battle Creek,"Battle Creek, United States"
United States,Little Rock,"Little Rock, United States"
United States,Oklahoma City,"Oklahoma City, United States"
